id,modelo,area_especialidade,nivel_dificuldade,gabarito,resposta_modelo,acertou,enunciado
2015-16_20,llama_safe:latest,Direitos Humanos,Médio,D,D,1,"Como é sabido, o Pacto Internacional dos Direitos Civis e Políticos estabelece em seu Art. 25 que todo cidadão terá o direito e a possibilidade de votar e de ser eleito em eleições periódicas, autênti..."
2015-16_21,llama_safe:latest,Direitos Humanos,Médio,A,B,0,"Em setembro de 2014, na cidade de São Paulo, foi inaugurado o Centro de Referência e Acolhida para Imigrantes (CRAI), que é o primeiro do país e tem como objetivo oferecer a estrutura de uma casa de p..."
2015-16_22,llama_safe:latest,Direitos Humanos,Difícil,A,B,0,"A Lei nº 12.986, de 2 de junho de 2014, transformou o antigo Conselho de Defesa dos Direitos da Pessoa Humana em Conselho Nacional dos Direitos Humanos - CNDH. Esse Conselho poderá solicitar credencia..."
2015-16_23,llama_safe:latest,Direito Internacional,Médio,C,C,1,"O MERCOSUL é um organismo internacional que visa à integração econômica de países que se localizam geograficamente no eixo conhecido como Cone Sul, nos termos do Tratado de Assunção (1991) e do Protoc..."
2015-16_24,llama_safe:latest,Direito Internacional,Médio,B,B,1,"O litígio que envolve Estados e organizações internacionais, podendo ser de natureza econômica, política ou meramente jurídica, é conceituado como controvérsia internacional.
Acerca dos meios diplomát..."
2015-16_25,llama_safe:latest,Direito Tributário,Médio,D,B,0,"A União concedeu isenção, pelo prazo de cinco anos, da Contribuição para o Financiamento da Seguridade Social (COFINS) para as indústrias de veículos automotores terrestres que cumprissem determinadas..."
2015-16_26,llama_safe:latest,Direito Tributário,Médio,A,D,0,Determinado contribuinte verificou a existência de débitos vencidos de Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) e da taxa de coleta de lixo com o Município M.  Os dois tributos ...
2015-16_27,llama_safe:latest,Direito Tributário,Médio,B,C,0,Uma obrigação tributária referente ao Imposto sobre Circulação de Mercadorias e Serviços (ICMS) teve seu fato gerador ocorrido em 1º de junho de 2012. O débito foi objeto de lançamento em 21 de janeir...
2015-16_28,llama_safe:latest,Direito Tributário,Difícil,C,A,0,"Em 2007, a pessoa jurídica Y recebeu notificação para pagamento de débitos de Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU). Em 2014, diante da constatação de que a contribuinte não ..."
2015-16_29,llama_safe:latest,Direito Administrativo,Fácil,B,A,0,"Carlos, servidor público federal, utilizou dois servidores do departamento que chefia para o pagamento de contas em agência bancária e para outras atividades particulares. Por essa razão, foi aberto p..."
2015-16_30,llama_safe:latest,Direito Administrativo,Médio,B,D,0,"O Estado X, após regular processo licitatório, celebrou contrato de concessão de serviço público de transporte intermunicipal de passageiros, por ônibus regular, com a sociedade empresária “F”, venced..."
2015-16_31,llama_safe:latest,Direito Administrativo,Médio,D,D,1,"O Estado X está ampliando a sua rede de esgotamento sanitário. Para tanto, celebrou contrato de obra com a empresa “Enge-X-Sane”, no valor de R$ 50.000.000,00 (cinquenta milhões de reais). A fim de pe..."
2015-16_32,llama_safe:latest,Direito Administrativo,Médio,A,A,1,"Determinado município resolve aumentar a eficiência na aplicação das multas de trânsito. Após procedimento licitatório, contrata a sociedade empresária Cobra Tudo para instalar câmeras do tipo “radar""..."
2015-16_33,llama_safe:latest,Direito Administrativo,Médio,B,D,0,"Após fortes chuvas, devido ao enorme volume de água, parte de uma rodovia federal sofreu rachaduras e cedeu, tornando necessária a interdição da pista e o desvio do fluxo de tráfego até a conclusão da..."
2015-16_34,llama_safe:latest,Direito Administrativo,Médio,C,B,0,"O prédio que abrigava a Biblioteca Pública do Município de Molhadinho foi parcialmente destruído em um incêndio, que arruinou quase metade do acervo e prejudicou gravemente a estrutura do prédio. Os l..."
2015-16_35,llama_safe:latest,Direito Ambiental,Médio,C,B,0,"Miguel, empreendedor particular, tem interesse em dar início à construção de edifício comercial em área urbana de uma grande metrópole. Nesse sentido, consulta seu advogado e indaga sobre quais são as..."
2015-16_36,llama_safe:latest,Direito Ambiental,Médio,A,A,1,"Hugo, proprietário de imóvel rural, tem instituída Reserva Legal em parte de seu imóvel. Sobre a hipótese, considerando o instituto da Reserva Legal, de acordo com a disciplina do Novo Código Floresta..."
2015-16_37,llama_safe:latest,Direito Civil,Médio,A,D,0,"Os tutores de José consideram que o rapaz, aos 16 anos, tem maturidade e discernimento necessários para praticar os atos da vida civil. Por isso, decidem conferir ao rapaz a sua emancipação.
Consultam..."
2015-16_38,llama_safe:latest,Direito Civil,Difícil,A,A,1,"Márcia era viúva e tinha três filhos: Hugo, Aurora e Fiona. Aurora, divorciada, vivia sozinha e tinha dois filhos, Rui e Júlia.  Márcia faleceu e Aurora renunciou à herança da mãe.  Sobre a divisão da..."
2015-16_39,llama_safe:latest,Direito Civil,Médio,B,D,0,"Maria entregou à sociedade empresária JL Veículos Usados um veículo Vectra, ano 2008, de sua propriedade, para ser vendido pelo valor de R$ 18.000,00. Restou acordado que o veículo ficaria exposto na ..."
2015-16_40,llama_safe:latest,Direito Civil,Fácil,A,A,1,"Mediante o emprego de violência, Mélvio esbulhou a posse da Fazenda Vila Feliz. A vítima do esbulho, Cassandra, ajuizou ação de reintegração de posse em face de Mélvio após um ano e meio, o que impedi..."
2015-16_41,llama_safe:latest,Direito Civil,Fácil,B,D,0,"Daniel, morador do Condomínio Raio de Luz, após consultar a convenção do condomínio e constatar a permissão de animais de estimação, realizou um sonho antigo e adquiriu um cachorro da raça Beagle.  Oc..."
2015-16_42,llama_safe:latest,Direito Civil,Médio,C,C,1,"Joana deu seu carro a Lúcia, em comodato, pelo prazo de 5 dias, findo o qual Lúcia não devolveu o veículo. Dois dias depois, forte tempestade danificou a lanterna e o parachoque dianteiro do carro de ..."
2015-16_43,llama_safe:latest,Direito Civil,Difícil,D,D,1,"A Companhia GAMA e o Banco RENDA celebraram entre si contrato de mútuo, por meio do qual a companhia recebeu do banco a quantia de R$ 500.000,00 (quinhentos mil reais), obrigando-se a restituí-la, acr..."
2015-16_44,llama_safe:latest,Estatuto da Criança e do Adolescente,Fácil,C,B,0,"O Estatuto da Criança e do Adolescente estabelece que pessoas com até doze anos de idade incompletos são consideradas crianças e aquelas entre doze e dezoito anos incompletos, adolescentes. Estabelece..."
2015-16_45,llama_safe:latest,Estatuto da Criança e do Adolescente,Médio,B,B,1,"B e P, vizinhos da criança Y, cuidam do menino desde a tenra idade, quando o pai da criança faleceu e sua genitora, por motivos profissionais, mudou-se para localidade distante, fazendo visitas esporá..."
2015-16_46,llama_safe:latest,Direito do Consumidor,Médio,C,D,0,"A responsabilidade civil dos fornecedores de serviços e produtos, estabelecida pelo Código do Consumidor, reconheceu a relação jurídica qualificada pela presença de uma parte vulnerável, devendo ser o..."
2015-16_47,llama_safe:latest,Direito do Consumidor,Fácil,D,D,1,As negociações mercantis adotaram uma nova ordem quando o Código de Defesa do Consumidor foi implementado no sistema jurídico nacional. A norma visa a proteger a parte mais frágil econômica e tecnicam...
2015-16_48,llama_safe:latest,Direito Empresarial,Médio,D,D,1,"A sociedade empresária Calçados Montalvânia Ltda. celebrou contrato de faturização com Miravânia Fomento Mercantil Ltda. para que a segunda antecipasse para a primeira créditos contidos em cheques, no..."
2015-16_49,llama_safe:latest,Direito Empresarial,Médio,C,C,1,"Uma letra de câmbio no valor de R$ 13.000,00 (treze mil reais) foi endossada por Pilar com cláusula de mandato para o Banco Poxim S/A.  Não tendo havido pagamento no vencimento, a cambial foi apresent..."
2015-16_50,llama_safe:latest,Direito Empresarial,Difícil,D,D,1,"Terezinha, sócia minoritária e administradora da sociedade Z & Cia.  Ltda., com participação de 23% no capital social, foi excluída da sociedade por ter se apropriado de bens sociais e alienado-os de ..."
2015-16_51,llama_safe:latest,Direito Empresarial,Fácil,C,C,1,"Uma das obrigações da sociedade empresária é seguir um sistema de contabilidade, mecanizado ou não, com base na escrituração uniforme de seus livros, em correspondência com a documentação respectiva, ..."
2015-16_52,llama_safe:latest,Direito Empresarial,Médio,B,C,0,"A respeito dos legitimados, assinale a opção que indica as pessoas que podem requerer patente de invenção ou modelo de utilidade, de acordo com a Lei nº 9.279/96.

A) O próprio autor, se maior de 18 a..."
2015-16_53,llama_safe:latest,Direito Empresarial,Médio,D,D,1,"Daniel possui uma pequena mercearia e costuma aceitar cheques de seus clientes, como forma de pagamento. Ocorre que, no último mês, três dos cheques apresentados no prazo foram devolvidos por insufici..."
2015-16_54,llama_safe:latest,Direito Processual Civil,Fácil,D,D,1,"O processo eletrônico disciplinado pela Lei nº 11.419/2006 vem sendo implementado em larga escala no território nacional, com o propósito de conferir maior celeridade e proporcionar economia processua..."
2015-16_55,llama_safe:latest,Direito Processual Civil,Difícil,B,B,1,"Rodolfo ingressou com ação rescisória de sentença prolatada em ação de cobrança, fundada na obtenção, após a sentença, de documento novo capaz de lhe assegurar pronunciamento favorável. Entretanto, o ..."
2015-16_56,llama_safe:latest,Direito Processual Civil,Médio,A,D,0,"A repressão à má-fé processual é disciplinada em diversas fontes normativas que orientam a aplicação do direito. A multa por litigância de má-fé pode ser aplicada ao autor, réu e interveniente e mesmo..."
2015-16_57,llama_safe:latest,Direito Processual Civil,Difícil,B,D,0,"Márcio faleceu, deixando bens imóveis e móveis a inventariar, assim como filho capaz e Antonieta, viúva, então casada pelo regime de comunhão parcial de bens. Além dos bens, Márcio deixou dívidas trib..."
2015-16_58,llama_safe:latest,Direito Processual Civil,Médio,A,B,0,"Ludmila é proprietária de imóvel residencial locado a Renato por mais de três anos, não chegando a um acordo para fixação do valor do aluguel no momento do seu reajuste. Diante do impasse quanto ao va..."
2015-16_59,llama_safe:latest,Direito Penal,Médio,C,B,0,"Maria Joaquina, empregada doméstica de uma residência, profundamente apaixonada pelo vizinho Fernando, sem que este soubesse, escuta sua conversa com uma terceira pessoa acordando o furto da casa em q..."
2015-16_60,llama_safe:latest,Direito Penal,Médio,C,B,0,"Patrício e Luiz estavam em um bar, quando o primeiro, mediante ameaça de arma de fogo, obriga o último a beber dois copos de tequila. Luiz ficou inteiramente embriagado. A dupla, então, deixou o local..."
2015-16_61,llama_safe:latest,Direito Penal,Difícil,D,A,0,"Felipe, menor de 21 anos de idade e reincidente, no dia 10 de abril de 2009, foi preso em flagrante pela prática do crime de roubo. Foi solto no curso da instrução e acabou condenado em 08 de julho de..."
2015-16_62,llama_safe:latest,Direito Penal,Médio,C,A,0,"Carlos e seu filho de dez anos caminhavam por uma rua com pouco movimento e bastante escura, já de madrugada, quando são surpreendidos com a vinda de um cão pitbull na direção deles. Quando o animal i..."
2015-16_63,llama_safe:latest,Direito Penal,Médio,B,C,0,"Moura, maior de 70 anos, primário e de bons antecedentes, mediante grave ameaça, subtraiu o relógio da vítima Lúcia, avaliado em R$ 550,00 (quinhentos e cinquenta reais). Cerca de 45 minutos após a su..."
2015-16_64,llama_safe:latest,Direito Penal,Difícil,C,C,1,"Paloma, sob o efeito do estado puerperal, logo após o parto, durante a madrugada, vai até o berçário onde acredita encontrar-se seu filho recém-nascido e o sufoca até a morte, retornando ao local de o..."
2015-16_65,llama_safe:latest,Direito Processual Penal,Fácil,D,D,1,"O inquérito policial pode ser definido como um procedimento investigatório prévio, cuja principal finalidade é a obtenção de indícios para que o titular da ação penal possa propô-la contra o suposto a..."
2015-16_66,llama_safe:latest,Direito Processual Penal,Difícil,A,A,1,Melinda Cunha foi denunciada pela prática do crime de bigamia. Ocorre que existe ação em curso no juízo cível onde se discute a validade do primeiro casamento celebrado pela denunciada. Entendendo o m...
2015-16_67,llama_safe:latest,Direito Processual Penal,Médio,A,C,0,"Juan da Silva foi autor de uma contravenção penal, em detrimento dos interesses da Caixa Econômica Federal, empresa pública. Praticou, ainda, outra contravenção em conexão, dessa vez em detrimento dos..."
2015-16_68,llama_safe:latest,Direito Processual Penal,Médio,C,A,0,"A prisão temporária pode ser definida como uma medida cautelar restritiva, decretada por tempo determinado, destinada a possibilitar as investigações de certos crimes considerados pelo legislador como..."
2015-16_69,llama_safe:latest,Direito Processual Penal,Médio,D,D,1,"Scott procurou um advogado, pois tinha a intenção de ingressar com queixa-crime contra dois vizinhos que vinham lhe injuriando constantemente. Narrados os fatos e conferida procuração com poderes espe..."
2015-16_70,llama_safe:latest,Direito do Trabalho,Fácil,C,B,0,"Paulo é operador de máquinas de uma montadora de automóveis. Seu horário de trabalho é das 7:00 às 16:00, dispondo de uma hora de intervalo. O aparelho para registro do ponto eletrônico fica situado a..."
2015-16_71,llama_safe:latest,Direito do Trabalho,Médio,D,B,0,"Hugo, José e Luiz são colegas de trabalho na mesma empresa.  Hugo trabalha diretamente com o transporte de material inflamável, de modo permanente, nas dependências da empresa. José faz a rendição de ..."
2015-16_72,llama_safe:latest,Direito do Trabalho,Médio,A,A,1,"Patrícia recebeu a comunicação de sua dispensa em 05/05/2013, e na carta constava que o aviso prévio seria trabalhado. Após 15 (quinze) dias do curso do aviso prévio, Patrícia adoeceu gravemente, entr..."
2015-16_73,llama_safe:latest,Direito do Trabalho,Médio,D,D,1,"Determinado empregado foi contratado para criar e desenvolver programas de software, criando novas soluções para as demandas dos clientes do seu empregador.  Em sua atividade normal, esse empregado in..."
2015-16_74,llama_safe:latest,Direito do Trabalho,Médio,C,B,0,"João trabalha na área de vendas em uma empresa de cigarros. Recebe do empregador, em razão do seu cargo, moradia e pagamento da conta de luz do apartamento, além de ter veículo cedido com combustível...."
2015-16_75,llama_safe:latest,Direito do Trabalho,Médio,B,D,0,"As sociedades empresárias ALFA e BETA, que atuam no ramo hoteleiro, foram fiscalizadas pela autoridade competente e multadas porque concediam intervalo de 30 minutos para refeição aos empregados que t..."
2015-16_76,llama_safe:latest,Direito Processual do Trabalho,Médio,C,A,0,"Antônio é assistente administrativo na sociedade empresária Setler Conservação Ltda., que presta serviços terceirizados à União. Ele está com o seu contrato em vigor, mas não recebeu o ticket refeição..."
2015-16_77,llama_safe:latest,Direito Processual do Trabalho,Médio,B,B,1,"Julgado dissídio coletivo entre uma categoria profissional e a patronal, em que foram concedidas algumas vantagens econômicas à categoria dos empregados, estas não foram cumpridas de imediato pela emp..."
2015-16_78,llama_safe:latest,Direito Processual do Trabalho,Fácil,C,A,0,"O Desembargador Relator de um recurso ordinário, ao verificar que a matéria posta em debate já era sumulada pelo TRT do qual é integrante, resolveu julgar, monocraticamente, o recurso.
Diante do caso ..."
2015-16_79,llama_safe:latest,Direito Processual do Trabalho,Médio,A,D,0,"Jairo requereu adicional de periculosidade em ação trabalhista movida em face de seu empregador. A gratuidade de justiça foi deferida e o perito realizou o laudo para receber ao final da demanda, tudo..."
2015-16_80,llama_safe:latest,Direito Processual do Trabalho,Médio,C,A,0,"No momento em que a sociedade empresária estava fazendo o recolhimento do preparo relativo ao recurso de revista que iria interpor em face de um acórdão, houve um lapso do departamento financeiro e o ..."
2015-17_1,llama_safe:latest,Ética Profissional,Médio,C,C,1,"Leôncio é estagiário de escritório especializado na área cível e testemunha o descumprimento de norma legal por funcionário público, imediatamente comunicando a situação ao seu advogado supervisor. Am..."
2015-17_2,llama_safe:latest,Ética Profissional,Médio,C,D,0,"Os atos e contratos constitutivos de pessoas jurídicas, para sua admissão em registro, em não se tratando de empresas de pequeno porte e de microempresas, consoante o Estatuto da Advocacia, devem

A) ..."
2015-17_3,llama_safe:latest,Ética Profissional,Médio,A,C,0,"Patrícia foi aprovada em concurso público e tomou posse como Procuradora do Município em que reside. Como não pretendia mais exercer a advocacia privada, mas apenas atuar como Procuradora do Município..."
2015-17_4,llama_safe:latest,Ética Profissional,Fácil,A,D,0,"A advogada Maria foi presa em flagrante por furto cometido no interior de uma loja de departamentos. Na Delegacia, teve a assistência de advogado por ela constituído. O auto de prisão foi lavrado sem ..."
2015-17_5,llama_safe:latest,Ética Profissional,Médio,A,B,0,"O advogado Márcio, sócio de determinado escritório de advocacia, contratou novos advogados para a sociedade e substabeleceu, com reserva em favor dos novos contratados, os poderes que lhe haviam sido ..."
2015-17_6,llama_safe:latest,Ética Profissional,Médio,B,C,0,"Deise é uma próspera advogada e passou a buscar novos desafios, sendo eleita Deputada Estadual. Por força de suas raras habilidades políticas, foi eleita integrante da Mesa Diretora da Assembleia Legi..."
2015-17_7,llama_safe:latest,Ética Profissional,Médio,B,B,1,"O advogado F recebe do seu cliente WW determinada soma em dinheiro para aplicação em instrumentos necessários à exploração de jogo não autorizado por lei.
Nos termos do Estatuto da Advocacia, a infraç..."
2015-17_8,llama_safe:latest,Ética Profissional,Fácil,D,D,1,"O advogado Nelson, após estabelecer seu escritório em local estratégico nas proximidades dos prédios que abrigam os órgãos judiciários representantes de todas as esferas da Justiça, resolve publicar a..."
2015-17_9,llama_safe:latest,Ética Profissional,Médio,C,B,0,"Gisella é advogada recém-aprovada no Exame de Ordem e herda diversas causas de um colega de classe que resolveu trilhar outros caminhos, deixando numerosos processos para acompanhamento nos Juízos de ..."
2015-17_10,llama_safe:latest,Ética Profissional,Médio,D,D,1,"Laura formou-se em prestigiada Faculdade de Direito, mas sua prática advocatícia foi limitada, o que a impediu de ter experiência maior no trato com os clientes. Realizou seus primeiros processos para..."
2015-17_11,llama_safe:latest,Filosofia do Direito,Médio,C,A,0,"Hans Kelsen, ao abordar o tema da interpretação jurídica no seu livro Teoria Pura do Direito, fala em ato de vontade e ato de conhecimento. Em relação à aplicação do Direito por um órgão jurídico, ass..."
2015-17_12,llama_safe:latest,Filosofia do Direito,Difícil,B,B,1,"“Mister é não olvidar que a compreensão do direito como ‘fato histórico-cultural’ implica o conhecimento de que estamos perante uma realidade essencialmente dialética, isto é, que não é concebível sen..."
2015-17_13,llama_safe:latest,Direito Constitucional,Médio,C,C,1,"Pedro, reconhecido advogado na área do direito público, é contratado para produzir um parecer sobre situação que envolve o pacto federativo entre Estados brasileiros. Ao estudar mais detidamente a que..."
2015-17_14,llama_safe:latest,Filosofia do Direito,Médio,A,A,1,"Dois advogados, com grande experiência profissional e com a justa preocupação de se manterem atualizados, concluem que algumas ideias vêm influenciando mais profundamente a percepção dos operadores do..."
2015-17_15,llama_safe:latest,Direito Constitucional,Difícil,C,C,1,"Determinado Tribunal de Justiça vem tendo dificuldades para harmonizar os procedimentos de suas câmaras, órgãos fracionários, em relação à análise, em caráter incidental, da inconstitucionalidade de c..."
2015-17_16,llama_safe:latest,Direito Constitucional,Difícil,B,D,0,"Determinado Estado da Federação vivencia sérios problemas de segurança pública, sendo frequentes as fugas dos presos transportados para participar de atos processuais realizados no âmbito do Poder Jud..."
2015-17_17,llama_safe:latest,Direito Constitucional,Médio,C,D,0,"Um representante da sociedade civil, apresentando indícios de que o Presidente da República teria ultrapassado os gastos autorizados pela lei orçamentária e, portanto, cometido crime de responsabilida..."
2015-17_18,llama_safe:latest,Direito Constitucional,Médio,D,D,1,"A discussão a respeito das funções executiva, legislativa e judiciária parece se acirrar em torno dos limites do seu exercício pelos três tradicionais Poderes. Nesse sentido, sobre a estrutura adotada..."
2015-17_19,llama_safe:latest,Direito Constitucional,Difícil,C,D,0,"Ocorreu um grande escândalo de desvio de verbas públicas na administração pública federal, o que ensejou a instauração de uma Comissão Parlamentar de Inquérito (CPI), requerida pelos deputados federai..."
2015-17_21,llama_safe:latest,Direitos Humanos,Médio,D,D,1,"A Lei nº 12.986/14 transformou o antigo Conselho de Defesa dos Direitos da Pessoa Humana – CDDPH – em Conselho Nacional dos Direitos Humanos – CNDH.
A respeito da finalidade desse Conselho, de acordo ..."
2015-17_22,llama_safe:latest,Direitos Humanos,Médio,A,D,0,"Segundo dados do CONARE (Comitê Nacional para os Refugiados), o Brasil possuía, no fim de 2014, 6.492 refugiados de 80 nacionalidades. Como é sabido, o Brasil ratificou a Convenção das Nações Unidas s..."
2015-17_23,llama_safe:latest,Direito Constitucional,Médio,D,D,1,"Carlos, brasileiro naturalizado, tendo renunciado à sua anterior nacionalidade, casou-se com Tatiana, de nacionalidade alemã. Em razão do trabalho na iniciativa privada, Carlos foi transferido para o ..."
2015-17_24,llama_safe:latest,Direito Internacional,Difícil,B,D,0,"A sociedade empresária brasileira do ramo de comunicação, Personalidades, celebrou contrato internacional de prestação de serviços de informática, no Brasil, com a sociedade empresária uruguaia Sacram..."
2015-17_25,llama_safe:latest,Direito Tributário,Médio,D,D,1,"Após ser intimada da lavratura de um auto de infração visando à cobrança da Contribuição para o Financiamento da Seguridade Social (COFINS) dos últimos cinco anos, a pessoa jurídica XYZ Participações ..."
2015-17_26,llama_safe:latest,Direito Tributário,Difícil,D,D,1,"A União ajuizou execução fiscal em face da pessoa jurídica XYZ Ltda., devedora de tributos federais. No curso da execução fiscal, a falência da pessoa jurídica foi decretada. Após requerimento da Uniã..."
2015-17_27,llama_safe:latest,Direito Tributário,Médio,B,B,1,A pessoa jurídica X foi contemplada com isenção do Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) do imóvel utilizado para suas atividades comerciais. A referida isenção foi concedida...
2015-17_28,llama_safe:latest,Direito Tributário,Fácil,B,B,1,"Em 17/07/2014, o Tribunal de Justiça do Estado X da Federação instituiu, por meio de Provimento da Corregedoria Geral da Justiça, as custas judiciais e os emolumentos cartorários vigentes a partir da ..."
2015-17_29,llama_safe:latest,Direito Administrativo,Médio,A,D,0,"O Governador do Estado Y criticou, por meio da imprensa, o Diretor-Presidente da Agência Reguladora de Serviços Delegados de Transportes do Estado, autarquia estadual criada pela Lei nº 1.234, alegand..."
2015-17_30,llama_safe:latest,Direito Administrativo,Médio,C,C,1,"Fernando, servidor público de uma autarquia federal há nove anos, foi acusado de participar de um esquema para favorecer determinada empresa em uma dispensa de licitação, razão pela qual foi instaurad..."
2015-17_31,llama_safe:latest,Direito Administrativo,Médio,C,C,1,"O Município W, durante a construção de avenida importante, ligando a região residencial ao centro comercial da cidade, verifica a necessidade de ampliação da área a ser construída, mediante a incorpor..."
