id,modelo,area_especialidade,nivel_dificuldade,gabarito,resposta_modelo,acertou,enunciado
2015-17_32,llama_safe:latest,Direito Administrativo,Fácil,A,A,1,"O Estado X publicou edital de concurso público de provas e títulos para o cargo de analista administrativo. O edital prevê a realização de uma primeira fase, com questões objetivas, e de uma segunda f..."
2015-17_33,llama_safe:latest,Direito Administrativo,Médio,D,D,1,"Após autorização em lei, o Estado X constituiu empresa pública para atuação no setor bancário e creditício. Por não possuir, ainda, quadro de pessoal, foi iniciado concurso público com vistas à seleçã..."
2015-17_34,llama_safe:latest,Direito Administrativo,Médio,B,B,1,"Manoel da Silva é comerciante, proprietário de uma padaria e confeitaria de grande movimento na cidade ABCD. A fim de oferecer ao público um serviço diferenciado, Manoel formulou pedido administrativo..."
2015-17_35,llama_safe:latest,Direito Ambiental,Fácil,A,D,0,"O Município Z deseja implementar política pública ambiental, no sentido de combater a poluição das vias públicas. Sobre as competências ambientais distribuídas pela Constituição, assinale a afirmativa..."
2015-17_36,llama_safe:latest,Direito Ambiental,Médio,D,D,1,"Determinado Município, por intermédio de lei que contemplou questões como potencial construtivo, zoneamento de bairros e complexos esportivos, reduziu os limites de uma determinada Unidade de Conserva..."
2015-17_37,llama_safe:latest,Direito Civil,Médio,C,B,0,"Angélica concede a Otávia, pelo prazo de vinte anos, direito real de usufruto sobre imóvel de que é proprietária. O direito real é constituído por meio de escritura pública, que é registrada no compet..."
2015-17_38,llama_safe:latest,Direito Civil,Médio,A,D,0,"Gilvan (devedor) contrai empréstimo com Haroldo (credor) para o pagamento com juros do valor do mútuo no montante de R$ 10.000,00. Para facilitar a percepção do crédito, a parte do polo ativo obrigaci..."
2015-17_39,llama_safe:latest,Direito Civil,Médio,D,D,1,"Flávia vendeu para Quitéria seu apartamento e incluiu, no contrato de compra e venda, cláusula pela qual se reservava o direito de recomprá-lo no prazo máximo de 2 (dois) anos. Antes de expirado o ref..."
2015-17_40,llama_safe:latest,Direito Civil,Médio,D,B,0,"Ester, viúva, tinha duas filhas muito ricas, Marina e Carina. Como as filhas não necessitam de seus bens, Ester deseja beneficiar sua irmã, Ruth, por ocasião de sua morte, destinando-lhe toda a sua he..."
2015-17_41,llama_safe:latest,Direito Civil,Médio,C,C,1,"Mateus é proprietário de um terreno situado em área rural do estado de Minas Gerais. Por meio de escritura pública levada ao cartório do registro de imóveis, Mateus concede, pelo prazo de vinte anos, ..."
2015-17_42,llama_safe:latest,Direito Civil,Médio,A,A,1,"Carlos Pacheco e Marco Araújo, advogados recém-formados, constituem a sociedade P e A Advogados. Para fornecer e instalar todo o equipamento de informática, a sociedade contrata José Antônio, que, ape..."
2015-17_43,llama_safe:latest,Direito Civil,Médio,B,B,1,"Maria, solteira, após a morte de seus pais em acidente automobilístico, propõe demanda por alimentos em face de Pedro, seu parente colateral de segundo grau.
Diante dos fatos narrados e considerando a..."
2015-17_44,llama_safe:latest,Estatuto da Criança e do Adolescente,Médio,C,C,1,"O adolescente N. ficou conhecido no bairro onde mora por praticar roubos e furtos e ter a suposta habilidade de nunca ter sido apreendido. Certa noite, N. saiu com o propósito de praticar novos atos d..."
2015-17_45,llama_safe:latest,Estatuto da Criança e do Adolescente,Fácil,C,C,1,"Um conselheiro tutelar, ao passar por um parquinho, observa Ana corrigindo o filho, João, por ele não permitir que os amigos brinquem com o seu patinete. Para tanto, a genitora grita, puxa o cabelo e ..."
2015-17_46,llama_safe:latest,Direito do Consumidor,Médio,B,D,0,"Saulo e Bianca são casados há quinze anos e, há dez, decidiram ingressar no ramo das festas de casamento, produzindo os chamados “bem-casados”, deliciosos doces recheados oferecidos aos convidados ao ..."
2015-17_47,llama_safe:latest,Direito do Consumidor,Médio,D,A,0,"Tommy adquiriu determinado veículo junto a um revendedor de automóveis usados. Para tanto, fez o pagamento de 60% do valor do bem e financiou os 40% restantes com garantia de alienação fiduciária, jun..."
2015-17_48,llama_safe:latest,Direito Empresarial,Médio,A,D,0,"Paulo, casado no regime de comunhão parcial com Jacobina, é empresário enquadrado como microempreendedor individual (MEI). O varão pretende gravar com hipoteca o imóvel onde está situado seu estabelec..."
2015-17_49,llama_safe:latest,Direito Empresarial,Fácil,C,C,1,"Assinale a alternativa correta em relação aos conceitos de empresa e empresário no Direito Empresarial.

A) Empresa é a sociedade com ou sem personalidade jurídica; empresário é o sócio da empresa, pe..."
2015-17_50,llama_safe:latest,Direito Empresarial,Médio,D,A,0,"José adquiriu dois refrigeradores a prazo numa das filiais de Comércio de Eletrodomésticos Ltda., tendo efetuado pagamento de entrada no valor de 50% do preço. Foi decretada a falência da vendedora e ..."
2015-17_51,llama_safe:latest,Direito Empresarial,Médio,A,B,0,"Perseu, em 2012, ingressa numa sociedade simples, constituída em 2008, formada por cinco pessoas naturais e com sede na cidade de Primeira Cruz. De acordo com as disposições do Código Civil sobre a so..."
2015-17_52,llama_safe:latest,Direito Empresarial,Médio,B,D,0,"Lauro emitiu uma nota promissória com vencimento a dia certo em favor da sociedade empresária W Corretora de Imóveis Ltda. Embora o título esteja assinado pelo emitente, nele não constam a data e o lu..."
2015-17_53,llama_safe:latest,Direito Processual Civil,Médio,B,A,0,"Em ação de alimentos promovida por Yolanda em face de Aurélio, o Juiz determinou que Aurélio deveria arcar, na condição de futuro pai, com os valores devidos à gestante durante a gravidez, destinados ..."
2015-17_54,llama_safe:latest,Direito Processual Civil,Médio,A,A,1,"O Banco Financeiro S.A. ajuizou contra Marco Antônio ação de busca e apreensão de veículo, em razão do inadimplemento de contrato de financiamento garantido por cláusula de alienação fiduciária. A pri..."
2015-17_55,llama_safe:latest,Direito Processual Civil,Médio,C,A,0,"Aloísio ajuizou ação de anulação de casamento em face de Júlia. No curso do processo, o juiz designou audiência de instrução e julgamento para colheita dos depoimentos pessoais de Aloísio e Júlia e oi..."
2015-17_56,llama_safe:latest,Direito Processual Civil,Médio,D,D,1,"Mário foi citado em processo de execução, em virtude do descumprimento de obrigação consubstanciada em nota promissória por ele emitida. Alegando excesso de execução, por ter efetuado o pagamento parc..."
2015-17_57,llama_safe:latest,Direito Processual Civil,Médio,A,A,1,"Em 21/08/2012, Felipe, empresário do ramo de restaurantes, contratou, por R$ 20 mil, mediante pagamento à vista, os serviços de içamento por guindaste da empresa Júnior e Júnior Ltda., a fim de que um..."
2015-17_58,llama_safe:latest,Direito Processual Civil,Difícil,D,D,1,"Luan, servidor público do Estado de Minas Gerais, ajuizou ação contra a Fazenda Pública estadual, requerendo a devolução de verbas indevidamente descontadas em seu contracheque sob a rubrica de “contr..."
2015-17_59,llama_safe:latest,Direito Penal,Médio,D,A,0,"Reconhecida a prática de um injusto culpável, o juiz realiza o processo de individualização da pena, de acordo com o Art. 68 do Código Penal.
Segundo a jurisprudência do Superior Tribunal de Justiça, ..."
2015-17_60,llama_safe:latest,Direito Penal,Médio,D,A,0,"Marcus foi definitivamente condenado pela prática de um crime de roubo simples à pena privativa de liberdade de quatro anos de reclusão e multa de dez dias. Apesar de reincidente, em razão de condenaç..."
2015-17_61,llama_safe:latest,Direito Penal,Fácil,B,B,1,"Paulo pretende adquirir um automóvel por meio de sistema de financiamento junto a uma instituição bancária. Para tanto, dirige-se ao estabelecimento comercial para verificar as condições de financiame..."
2015-17_62,llama_safe:latest,Direito Penal,Médio,C,C,1,"Marcondes, necessitando de dinheiro para comparecer a uma festa no bairro em que residia, decide subtrair R$ 1.000,00 do caixa do açougue de propriedade de seu pai. Para isso, aproveita-se da ausência..."
2015-17_63,llama_safe:latest,Direito Penal,Difícil,C,D,0,"Durante um assalto a uma instituição bancária, Antônio e Francisco, gerentes do estabelecimento, são feitos reféns. Tendo ciência da condição deles de gerentes e da necessidade de que suas digitais fo..."
2015-16_20,gemma_safe:latest,Direitos Humanos,Médio,D,D,1,"Como é sabido, o Pacto Internacional dos Direitos Civis e Políticos estabelece em seu Art. 25 que todo cidadão terá o direito e a possibilidade de votar e de ser eleito em eleições periódicas, autênti..."
2015-16_21,gemma_safe:latest,Direitos Humanos,Médio,A,B,0,"Em setembro de 2014, na cidade de São Paulo, foi inaugurado o Centro de Referência e Acolhida para Imigrantes (CRAI), que é o primeiro do país e tem como objetivo oferecer a estrutura de uma casa de p..."
2015-16_22,gemma_safe:latest,Direitos Humanos,Difícil,A,A,1,"A Lei nº 12.986, de 2 de junho de 2014, transformou o antigo Conselho de Defesa dos Direitos da Pessoa Humana em Conselho Nacional dos Direitos Humanos - CNDH. Esse Conselho poderá solicitar credencia..."
2015-16_23,gemma_safe:latest,Direito Internacional,Médio,C,B,0,"O MERCOSUL é um organismo internacional que visa à integração econômica de países que se localizam geograficamente no eixo conhecido como Cone Sul, nos termos do Tratado de Assunção (1991) e do Protoc..."
2015-16_24,gemma_safe:latest,Direito Internacional,Médio,B,B,1,"O litígio que envolve Estados e organizações internacionais, podendo ser de natureza econômica, política ou meramente jurídica, é conceituado como controvérsia internacional.
Acerca dos meios diplomát..."
2015-16_25,gemma_safe:latest,Direito Tributário,Médio,D,B,0,"A União concedeu isenção, pelo prazo de cinco anos, da Contribuição para o Financiamento da Seguridade Social (COFINS) para as indústrias de veículos automotores terrestres que cumprissem determinadas..."
2015-16_26,gemma_safe:latest,Direito Tributário,Médio,A,D,0,Determinado contribuinte verificou a existência de débitos vencidos de Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) e da taxa de coleta de lixo com o Município M.  Os dois tributos ...
2015-16_27,gemma_safe:latest,Direito Tributário,Médio,B,D,0,Uma obrigação tributária referente ao Imposto sobre Circulação de Mercadorias e Serviços (ICMS) teve seu fato gerador ocorrido em 1º de junho de 2012. O débito foi objeto de lançamento em 21 de janeir...
2015-16_28,gemma_safe:latest,Direito Tributário,Difícil,C,D,0,"Em 2007, a pessoa jurídica Y recebeu notificação para pagamento de débitos de Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU). Em 2014, diante da constatação de que a contribuinte não ..."
2015-16_29,gemma_safe:latest,Direito Administrativo,Fácil,B,D,0,"Carlos, servidor público federal, utilizou dois servidores do departamento que chefia para o pagamento de contas em agência bancária e para outras atividades particulares. Por essa razão, foi aberto p..."
2015-16_30,gemma_safe:latest,Direito Administrativo,Médio,B,B,1,"O Estado X, após regular processo licitatório, celebrou contrato de concessão de serviço público de transporte intermunicipal de passageiros, por ônibus regular, com a sociedade empresária “F”, venced..."
2015-16_31,gemma_safe:latest,Direito Administrativo,Médio,D,D,1,"O Estado X está ampliando a sua rede de esgotamento sanitário. Para tanto, celebrou contrato de obra com a empresa “Enge-X-Sane”, no valor de R$ 50.000.000,00 (cinquenta milhões de reais). A fim de pe..."
2015-16_32,gemma_safe:latest,Direito Administrativo,Médio,A,A,1,"Determinado município resolve aumentar a eficiência na aplicação das multas de trânsito. Após procedimento licitatório, contrata a sociedade empresária Cobra Tudo para instalar câmeras do tipo “radar""..."
2015-16_33,gemma_safe:latest,Direito Administrativo,Médio,B,C,0,"Após fortes chuvas, devido ao enorme volume de água, parte de uma rodovia federal sofreu rachaduras e cedeu, tornando necessária a interdição da pista e o desvio do fluxo de tráfego até a conclusão da..."
2015-16_34,gemma_safe:latest,Direito Administrativo,Médio,C,B,0,"O prédio que abrigava a Biblioteca Pública do Município de Molhadinho foi parcialmente destruído em um incêndio, que arruinou quase metade do acervo e prejudicou gravemente a estrutura do prédio. Os l..."
2015-16_35,gemma_safe:latest,Direito Ambiental,Médio,C,C,1,"Miguel, empreendedor particular, tem interesse em dar início à construção de edifício comercial em área urbana de uma grande metrópole. Nesse sentido, consulta seu advogado e indaga sobre quais são as..."
2015-16_36,gemma_safe:latest,Direito Ambiental,Médio,A,C,0,"Hugo, proprietário de imóvel rural, tem instituída Reserva Legal em parte de seu imóvel. Sobre a hipótese, considerando o instituto da Reserva Legal, de acordo com a disciplina do Novo Código Floresta..."
2015-16_37,gemma_safe:latest,Direito Civil,Médio,A,D,0,"Os tutores de José consideram que o rapaz, aos 16 anos, tem maturidade e discernimento necessários para praticar os atos da vida civil. Por isso, decidem conferir ao rapaz a sua emancipação.
Consultam..."
2015-16_38,gemma_safe:latest,Direito Civil,Difícil,A,C,0,"Márcia era viúva e tinha três filhos: Hugo, Aurora e Fiona. Aurora, divorciada, vivia sozinha e tinha dois filhos, Rui e Júlia.  Márcia faleceu e Aurora renunciou à herança da mãe.  Sobre a divisão da..."
2015-16_39,gemma_safe:latest,Direito Civil,Médio,B,A,0,"Maria entregou à sociedade empresária JL Veículos Usados um veículo Vectra, ano 2008, de sua propriedade, para ser vendido pelo valor de R$ 18.000,00. Restou acordado que o veículo ficaria exposto na ..."
2015-16_40,gemma_safe:latest,Direito Civil,Fácil,A,A,1,"Mediante o emprego de violência, Mélvio esbulhou a posse da Fazenda Vila Feliz. A vítima do esbulho, Cassandra, ajuizou ação de reintegração de posse em face de Mélvio após um ano e meio, o que impedi..."
2015-16_41,gemma_safe:latest,Direito Civil,Fácil,B,B,1,"Daniel, morador do Condomínio Raio de Luz, após consultar a convenção do condomínio e constatar a permissão de animais de estimação, realizou um sonho antigo e adquiriu um cachorro da raça Beagle.  Oc..."
2015-16_42,gemma_safe:latest,Direito Civil,Médio,C,C,1,"Joana deu seu carro a Lúcia, em comodato, pelo prazo de 5 dias, findo o qual Lúcia não devolveu o veículo. Dois dias depois, forte tempestade danificou a lanterna e o parachoque dianteiro do carro de ..."
2015-16_43,gemma_safe:latest,Direito Civil,Difícil,D,D,1,"A Companhia GAMA e o Banco RENDA celebraram entre si contrato de mútuo, por meio do qual a companhia recebeu do banco a quantia de R$ 500.000,00 (quinhentos mil reais), obrigando-se a restituí-la, acr..."
2015-16_44,gemma_safe:latest,Estatuto da Criança e do Adolescente,Fácil,C,B,0,"O Estatuto da Criança e do Adolescente estabelece que pessoas com até doze anos de idade incompletos são consideradas crianças e aquelas entre doze e dezoito anos incompletos, adolescentes. Estabelece..."
2015-16_45,gemma_safe:latest,Estatuto da Criança e do Adolescente,Médio,B,B,1,"B e P, vizinhos da criança Y, cuidam do menino desde a tenra idade, quando o pai da criança faleceu e sua genitora, por motivos profissionais, mudou-se para localidade distante, fazendo visitas esporá..."
2015-16_46,gemma_safe:latest,Direito do Consumidor,Médio,C,D,0,"A responsabilidade civil dos fornecedores de serviços e produtos, estabelecida pelo Código do Consumidor, reconheceu a relação jurídica qualificada pela presença de uma parte vulnerável, devendo ser o..."
2015-16_47,gemma_safe:latest,Direito do Consumidor,Fácil,D,D,1,As negociações mercantis adotaram uma nova ordem quando o Código de Defesa do Consumidor foi implementado no sistema jurídico nacional. A norma visa a proteger a parte mais frágil econômica e tecnicam...
2015-16_48,gemma_safe:latest,Direito Empresarial,Médio,D,D,1,"A sociedade empresária Calçados Montalvânia Ltda. celebrou contrato de faturização com Miravânia Fomento Mercantil Ltda. para que a segunda antecipasse para a primeira créditos contidos em cheques, no..."
2015-16_49,gemma_safe:latest,Direito Empresarial,Médio,C,A,0,"Uma letra de câmbio no valor de R$ 13.000,00 (treze mil reais) foi endossada por Pilar com cláusula de mandato para o Banco Poxim S/A.  Não tendo havido pagamento no vencimento, a cambial foi apresent..."
2015-16_50,gemma_safe:latest,Direito Empresarial,Difícil,D,D,1,"Terezinha, sócia minoritária e administradora da sociedade Z & Cia.  Ltda., com participação de 23% no capital social, foi excluída da sociedade por ter se apropriado de bens sociais e alienado-os de ..."
2015-16_51,gemma_safe:latest,Direito Empresarial,Fácil,C,C,1,"Uma das obrigações da sociedade empresária é seguir um sistema de contabilidade, mecanizado ou não, com base na escrituração uniforme de seus livros, em correspondência com a documentação respectiva, ..."
2015-16_52,gemma_safe:latest,Direito Empresarial,Médio,B,B,1,"A respeito dos legitimados, assinale a opção que indica as pessoas que podem requerer patente de invenção ou modelo de utilidade, de acordo com a Lei nº 9.279/96.

A) O próprio autor, se maior de 18 a..."
2015-16_53,gemma_safe:latest,Direito Empresarial,Médio,D,D,1,"Daniel possui uma pequena mercearia e costuma aceitar cheques de seus clientes, como forma de pagamento. Ocorre que, no último mês, três dos cheques apresentados no prazo foram devolvidos por insufici..."
2015-16_54,gemma_safe:latest,Direito Processual Civil,Fácil,D,D,1,"O processo eletrônico disciplinado pela Lei nº 11.419/2006 vem sendo implementado em larga escala no território nacional, com o propósito de conferir maior celeridade e proporcionar economia processua..."
2015-16_55,gemma_safe:latest,Direito Processual Civil,Difícil,B,A,0,"Rodolfo ingressou com ação rescisória de sentença prolatada em ação de cobrança, fundada na obtenção, após a sentença, de documento novo capaz de lhe assegurar pronunciamento favorável. Entretanto, o ..."
2015-16_56,gemma_safe:latest,Direito Processual Civil,Médio,A,A,1,"A repressão à má-fé processual é disciplinada em diversas fontes normativas que orientam a aplicação do direito. A multa por litigância de má-fé pode ser aplicada ao autor, réu e interveniente e mesmo..."
2015-16_57,gemma_safe:latest,Direito Processual Civil,Difícil,B,A,0,"Márcio faleceu, deixando bens imóveis e móveis a inventariar, assim como filho capaz e Antonieta, viúva, então casada pelo regime de comunhão parcial de bens. Além dos bens, Márcio deixou dívidas trib..."
2015-16_58,gemma_safe:latest,Direito Processual Civil,Médio,A,B,0,"Ludmila é proprietária de imóvel residencial locado a Renato por mais de três anos, não chegando a um acordo para fixação do valor do aluguel no momento do seu reajuste. Diante do impasse quanto ao va..."
2015-16_59,gemma_safe:latest,Direito Penal,Médio,C,A,0,"Maria Joaquina, empregada doméstica de uma residência, profundamente apaixonada pelo vizinho Fernando, sem que este soubesse, escuta sua conversa com uma terceira pessoa acordando o furto da casa em q..."
2015-16_60,gemma_safe:latest,Direito Penal,Médio,C,C,1,"Patrício e Luiz estavam em um bar, quando o primeiro, mediante ameaça de arma de fogo, obriga o último a beber dois copos de tequila. Luiz ficou inteiramente embriagado. A dupla, então, deixou o local..."
2015-16_61,gemma_safe:latest,Direito Penal,Difícil,D,C,0,"Felipe, menor de 21 anos de idade e reincidente, no dia 10 de abril de 2009, foi preso em flagrante pela prática do crime de roubo. Foi solto no curso da instrução e acabou condenado em 08 de julho de..."
2015-16_62,gemma_safe:latest,Direito Penal,Médio,C,A,0,"Carlos e seu filho de dez anos caminhavam por uma rua com pouco movimento e bastante escura, já de madrugada, quando são surpreendidos com a vinda de um cão pitbull na direção deles. Quando o animal i..."
2015-16_63,gemma_safe:latest,Direito Penal,Médio,B,B,1,"Moura, maior de 70 anos, primário e de bons antecedentes, mediante grave ameaça, subtraiu o relógio da vítima Lúcia, avaliado em R$ 550,00 (quinhentos e cinquenta reais). Cerca de 45 minutos após a su..."
2015-16_64,gemma_safe:latest,Direito Penal,Difícil,C,C,1,"Paloma, sob o efeito do estado puerperal, logo após o parto, durante a madrugada, vai até o berçário onde acredita encontrar-se seu filho recém-nascido e o sufoca até a morte, retornando ao local de o..."
2015-16_65,gemma_safe:latest,Direito Processual Penal,Fácil,D,A,0,"O inquérito policial pode ser definido como um procedimento investigatório prévio, cuja principal finalidade é a obtenção de indícios para que o titular da ação penal possa propô-la contra o suposto a..."
2015-16_66,gemma_safe:latest,Direito Processual Penal,Difícil,A,A,1,Melinda Cunha foi denunciada pela prática do crime de bigamia. Ocorre que existe ação em curso no juízo cível onde se discute a validade do primeiro casamento celebrado pela denunciada. Entendendo o m...
2015-16_67,gemma_safe:latest,Direito Processual Penal,Médio,A,C,0,"Juan da Silva foi autor de uma contravenção penal, em detrimento dos interesses da Caixa Econômica Federal, empresa pública. Praticou, ainda, outra contravenção em conexão, dessa vez em detrimento dos..."
2015-16_68,gemma_safe:latest,Direito Processual Penal,Médio,C,C,1,"A prisão temporária pode ser definida como uma medida cautelar restritiva, decretada por tempo determinado, destinada a possibilitar as investigações de certos crimes considerados pelo legislador como..."
2015-16_69,gemma_safe:latest,Direito Processual Penal,Médio,D,C,0,"Scott procurou um advogado, pois tinha a intenção de ingressar com queixa-crime contra dois vizinhos que vinham lhe injuriando constantemente. Narrados os fatos e conferida procuração com poderes espe..."
2015-16_70,gemma_safe:latest,Direito do Trabalho,Fácil,C,C,1,"Paulo é operador de máquinas de uma montadora de automóveis. Seu horário de trabalho é das 7:00 às 16:00, dispondo de uma hora de intervalo. O aparelho para registro do ponto eletrônico fica situado a..."
2015-16_71,gemma_safe:latest,Direito do Trabalho,Médio,D,B,0,"Hugo, José e Luiz são colegas de trabalho na mesma empresa.  Hugo trabalha diretamente com o transporte de material inflamável, de modo permanente, nas dependências da empresa. José faz a rendição de ..."
2015-16_72,gemma_safe:latest,Direito do Trabalho,Médio,A,A,1,"Patrícia recebeu a comunicação de sua dispensa em 05/05/2013, e na carta constava que o aviso prévio seria trabalhado. Após 15 (quinze) dias do curso do aviso prévio, Patrícia adoeceu gravemente, entr..."
2015-16_73,gemma_safe:latest,Direito do Trabalho,Médio,D,D,1,"Determinado empregado foi contratado para criar e desenvolver programas de software, criando novas soluções para as demandas dos clientes do seu empregador.  Em sua atividade normal, esse empregado in..."
2015-16_74,gemma_safe:latest,Direito do Trabalho,Médio,C,A,0,"João trabalha na área de vendas em uma empresa de cigarros. Recebe do empregador, em razão do seu cargo, moradia e pagamento da conta de luz do apartamento, além de ter veículo cedido com combustível...."
2015-16_75,gemma_safe:latest,Direito do Trabalho,Médio,B,B,1,"As sociedades empresárias ALFA e BETA, que atuam no ramo hoteleiro, foram fiscalizadas pela autoridade competente e multadas porque concediam intervalo de 30 minutos para refeição aos empregados que t..."
2015-16_76,gemma_safe:latest,Direito Processual do Trabalho,Médio,C,D,0,"Antônio é assistente administrativo na sociedade empresária Setler Conservação Ltda., que presta serviços terceirizados à União. Ele está com o seu contrato em vigor, mas não recebeu o ticket refeição..."
2015-16_77,gemma_safe:latest,Direito Processual do Trabalho,Médio,B,B,1,"Julgado dissídio coletivo entre uma categoria profissional e a patronal, em que foram concedidas algumas vantagens econômicas à categoria dos empregados, estas não foram cumpridas de imediato pela emp..."
2015-16_78,gemma_safe:latest,Direito Processual do Trabalho,Fácil,C,B,0,"O Desembargador Relator de um recurso ordinário, ao verificar que a matéria posta em debate já era sumulada pelo TRT do qual é integrante, resolveu julgar, monocraticamente, o recurso.
Diante do caso ..."
2015-16_79,gemma_safe:latest,Direito Processual do Trabalho,Médio,A,D,0,"Jairo requereu adicional de periculosidade em ação trabalhista movida em face de seu empregador. A gratuidade de justiça foi deferida e o perito realizou o laudo para receber ao final da demanda, tudo..."
